Time,ID,Lat,Lon,Alt,WiFi Networks,SSID1,MAC1,Frequncy1,Signal1,SSID2,MAC2,Frequncy2,Signal2,SSID3,MAC3,Frequncy3,Signal3,SSID4,MAC4,Frequncy4,Signal4,SSID5,MAC5,Frequncy5,Signal5,SSID6,MAC6,Frequncy6,Signal6,SSID7,MAC7,Frequncy7,Signal7,SSID8,MAC8,Frequncy8,Signal8,SSID9,MAC9,Frequncy9,Signal9,SSID10,MAC10,Frequncy10,Signal10,
2017-11-08 19:22:22,G920FXXU5EQD3,32.105076629250796,35.2069878014934,685.7117909264881,10,Ariel_University,f0:b0:52:3e:d8:ec,5180,-92,,f0:b0:52:be:d0:37,5300,-90,Ariel_University,f0:b0:52:3e:d0:38,2462,-90,Ariel_University,f0:b0:52:3e:d1:ec,5200,-89,Ariel_University,f0:b0:52:3e:d8:9c,5220,-89,Ariel_University,f0:b0:52:3e:c8:ec,5260,-88,Ariel_University,f0:b0:52:3e:c7:ac,5180,-88,,f0:b0:52:be:c8:e7,5260,-88,,00:1a:2f:7f:6b:70,2472,-87,Ariel_University,f0:b0:52:3e:da:1c,5290,-86,
2017-11-08 19:22:27,G920FXXU5EQD3,32.10508316385999,35.206953711479414,688.1468296360976,10,Ariel_University,f0:b0:52:3e:c7:8c,5280,-92,Ariel_University,f0:b0:52:3e:d8:ec,5180,-85,Ariel_University,f0:b0:52:3e:da:18,2437,-80,Ariel_University,1c:b9:c4:16:05:78,2437,-80,Ariel_University,f0:b0:52:3e:d0:3c,5300,-79,Ariel_University,f0:b0:52:3e:c8:1c,5240,-79,Ariel_University,f0:b0:52:3e:d8:e8,2437,-79,Ariel_University,f0:b0:52:3e:d0:38,2462,-76,Ariel_University,f0:b0:52:3e:d3:7c,5180,-74,Ariel_University,f0:b0:52:3e:d6:fc,5220,-73,
2017-11-08 19:22:32,G920FXXU5EQD3,32.10509478765551,35.206975711308054,690.5421339027172,7,Ariel_University,f0:b0:52:3e:ca:38,2462,-71,Ariel_University,f0:b0:52:3e:d6:fc,5220,-67,Ariel_University,f0:b0:52:3e:c8:1c,5240,-74,,f0:b0:52:be:c7:b7,5220,-79,,00:27:22:f3:e0:f6,2437,-81,Ariel_University,1c:b9:c4:16:05:38,2462,-82,Ariel_University,1c:b9:c4:16:1d:7c,5220,-89,null,null,null,null,null,null,null,null,null,null,null,null,
2017-11-08 19:22:37,G920FXXU5EQD3,32.10505902855257,35.20703745297369,689.3639070124793,10,Ariel_University,f0:b0:52:3e:61:c8,2462,-90,Ariel_University,1c:b9:c4:14:38:2c,5180,-86,Ariel_University,f0:b0:52:3e:c7:8c,5280,-85,Ariel_University,f0:b0:52:3e:cc:7c,5220,-83,Ariel_University,f0:b0:52:3e:cc:78,2437,-83,,f0:b0:52:be:d4:57,5290,-76,Ariel_University,f0:b0:52:3e:d4:5c,5290,-75,Ariel_University,f0:b0:52:3e:da:18,2437,-75,Ariel_University,f0:b0:52:3e:d4:58,2412,-69,Ariel_University,f0:b0:52:3e:c7:bc,5220,-63,
2017-11-08 19:22:42,G920FXXU5EQD3,32.105041066224445,35.207100178597784,686.4895668435189,5,Ariel_University,f0:b0:52:3e:d0:38,2462,-62,,f0:b0:52:be:c7:b7,5220,-69,,1c:b9:c4:94:38:27,5180,-85,Ariel_University,f0:b0:52:3e:61:cc,5200,-89,Ariel_University,1c:b9:c4:15:44:5c,5220,-91,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
2017-11-08 19:22:47,G920FXXU5EQD3,32.10501113357523,35.20712028033326,684.7045011743119,6,Ariel_University,f0:b0:52:3e:d6:f8,2437,-55,Ariel_University,f0:b0:52:3e:da:1c,5290,-81,,f0:b0:52:be:da:17,5290,-81,,f0:b0:52:be:d0:37,5300,-82,,f0:b0:52:be:d1:e7,5200,-83,Ariel_University,f0:b0:52:3e:d1:ec,5200,-84,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
2017-11-08 19:22:52,G920FXXU5EQD3,32.10496567598121,35.20712346711811,684.1909820587375,3,Ariel_University,f0:b0:52:3e:d8:98,2412,-72,Ariel_University,ec:8c:a2:08:aa:dc,5180,-83,Ariel_University,f0:b0:52:3e:c8:58,2437,-80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
2017-11-08 19:23:00,G920FXXU5EQD3,32.10487527324261,35.20713378962639,684.2301519622291,7,Ariel_University,f0:b0:52:3e:d1:e8,2412,-63,,f0:b0:52:be:d6:f7,5220,-86,Ariel_University,1c:b9:c4:14:2b:a8,2412,-81,AUC_54_R,00:25:86:cc:00:f8,2432,-80,Ariel_University,1c:b9:c4:15:fd:68,2462,-86,Ariel_University,ec:8c:a2:26:d3:68,2412,-86,Ariel_University,f0:b0:52:3e:d0:98,2412,-87,null,null,null,null,null,null,null,null,null,null,null,null,
2017-11-08 19:23:17,G920FXXU5EQD3,32.104667197518346,35.20711384035409,687.019984055538,8,Ariel_University,ec:8c:a2:08:aa:dc,5180,-75,Ariel_University,1c:b9:c4:15:fd:6c,5180,-90,,ec:8c:a2:88:aa:d7,5180,-77,,ec:8c:a2:88:95:87,5180,-85,Ariel_University,ec:8c:a2:08:aa:d8,2437,-82,Ariel_University,ec:8c:a2:08:95:88,2412,-82,Ariel_University,ec:8c:a2:08:95:8c,5180,-86,Ariel_University,1c:b9:c4:15:3d:78,2462,-83,null,null,null,null,null,null,null,null,
2017-11-08 19:23:23,G920FXXU5EQD3,32.104601404220055,35.20708594439569,688.0206631129437,5,Ariel_University,ec:8c:a2:08:95:88,2412,-77,,1c:b9:c4:95:fd:67,5180,-88,,00:27:22:f3:e0:83,2412,-76,Ariel_University,1c:b9:c4:15:0e:b8,2462,-84,,00:27:22:f3:e0:7b,2412,-85,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
